"","runtype","Mean.Turbidity.FNU.mn","Mean.ODO...local.mn","Mean.Temp..C.mn","Mean.fDOM.QSU.mn","Mean.SpCond.ÂµS.cm.mn"
"1","20251119_SLOWintrinsic",0.347727272727273,83.2,21.3379545454545,66.1318181818182,644.804545454545
"2","20251119_SLOWFe0.1ppm",-0.09,62.3409090909091,21.7185454545455,66.2468181818182,306.745454545455
"3","20251119_SLOWFe0.2ppm",0.545454545454546,64.1727272727273,21.7041363636364,64.7772727272727,645.45
"4","20251119_SLOWFe0.5ppm",0.610454545454545,66.2954545454545,21.5952272727273,63.6281818181818,308.227272727273
"5","20251119_SLOWFe1ppm",2.01318181818182,65.3363636363636,21.8262727272727,60.0554545454546,634.113636363636
"6","20251119_SLOWFe10ppm",69.4377272727273,80.5272727272727,21.4680454545455,28.0777272727273,304.8
"7","20251119_SLOWFe50ppm",282.502272727273,74.35,21.6134090909091,5.77545454545455,662.163636363636
"8","20251119_SLOWMn0.1ppm",-0.0186363636363636,69.6363636363636,21.4534090909091,60.5386363636364,318.713636363636
"9","20251119_SLOWMn0.2ppm",-0.150454545454545,68.1318181818182,21.4914090909091,61.0718181818182,311.3
"10","20251119_SLOWMn0.5ppm",-0.16,71.7909090909091,21.4704090909091,61.285,645.1
"11","20251119_SLOWMn1ppm",0.0554545454545455,66.5636363636364,21.4338181818182,61.2027272727273,633.945454545455
"12","20251119_SLOWMn10ppm",-0.167727272727273,84.35,21.3561818181818,55.7190909090909,325.936363636364
"13","20251119_SLOWMn50ppm",0.0263636363636364,92.25,21.4810454545455,45.9695454545455,756.881818181818
"14","20251119_SLOW1.5xDilution",-0.343636363636364,89.55,21.4817727272727,45.765,209
"15","20251119_SLOW2xDilution",-0.355454545454545,92.5,21.5116818181818,35.4672727272727,341.5
"16","20251119_SLOW3xDilution",0.0277272727272727,96.9318181818182,21.8277727272727,23.9477272727273,4
"17","20251119_SLOW5xDilution",0.0981818181818182,98.5181818181818,21.7406363636364,15.7040909090909,67.5
"18","20251119_SLOW10xDilution",-0.0361363636363636,100.231818181818,21.5152727272727,9.76818181818182,11.9
